id,Name,Country,Latitude (º),Longitude (º),Altitude (meters),drought_index,PC1,PC2,PC3,Group,Survival_insitu_Madrid,Survival_insitu_Tübingen
9526,IP-Cab-3,ESP,41.54,2.39,270,0.000164989,-0.000293131,-0.0261882,-0.000324152,NESpain,0.333333333,0.857142857
9527,IP-Cad-0,ESP,40.37,-5.74,1115,-0.000178953,-0.0161722,-0.0184645,0.00900139,NWSpain,0.333333333,0.857142857
9528,IP-Cal-0,ESP,40.94,-1.37,1115,0.000846203,-0.0754923,-0.0122418,-0.0164818,NESpain,0.75,1
9529,IP-Cap-1,ESP,36.97,-3.36,1390,0.000224587,-0.0133997,-0.0205842,0.00345653,NESpain,0.5,0.857142857
9530,IP-Car-1,ESP,38.25,-4.32,771,NA,-0.0726161,-0.021652,0.0218195,Relicts,NA,NA
9531,IP-Cdc-3,ESP,41.21,-4.54,789,NA,-0.0202269,-0.0248517,0.000168233,NWSpain,NA,NA
9532,IP-Cdo-0,ESP,42.23,-4.64,816,NA,-0.00265462,-0.0248861,0.0067379,NWSpain,NA,NA
9533,IP-Cem-0,ESP,41.15,-4.32,887,NA,-0.232483,0.0165477,0.00150998,Relicts,NA,NA
9534,IP-Cmo-3,ESP,40.05,-4.65,390,0.000142865,-0.0218018,-0.0289255,-0.00020539,NWSpain,0.428571429,1
9535,IP-Coc-1,ESP,42.31,3.19,172,0.000583637,-0.0130729,-0.0226575,-0.0144593,NESpain,0.8,1
9536,IP-Cor-0,ESP,40.83,-2,1022,NA,-0.0865986,-0.00883568,-0.0167279,NESpain,NA,NA
9537,IP-Cum-1,ESP,38.07,-6.66,595,0.000231954,-0.0115863,-0.0332862,0.028016,SMediter,0.714285714,1
9539,IP-Deh-1,ESP,40.29,-6.67,869,0.000159379,-0.013471,-0.0258394,0.00656788,NWSpain,0.857142857,0.714285714
9540,IP-Elb-0,ESP,41.81,2.34,1020,NA,-0.00158873,-0.0246238,-0.00231857,NESpain,NA,NA
9541,IP-Fue-2,ESP,38.26,-5.42,598,NA,-0.0127922,-0.0298657,0.0265217,SMediter,NA,NA
9542,IP-Fun-0,ESP,40.79,-4.05,1913,-0.000759278,-0.248462,0.0328316,0.000292674,Relicts,0.142857143,0.857142857
9543,IP-Gra-0,ESP,36.77,-5.39,1178,NA,-0.198228,0.00909839,0.00264269,Relicts,NA,NA
9544,IP-Gua-1,ESP,39.4,-5.33,628,-1.98E-05,-0.0107419,-0.03218,0.0269728,SMediter,0.8,0.875
9545,IP-Her-12,ESP,39.4,-5.78,578,NA,-0.225642,0.00717741,0.00597775,Relicts,NA,NA
9546,IP-Hom-4,ESP,40.82,-1.68,1302,0.000285895,-0.019622,-0.0214615,-0.0101461,NESpain,0.166666667,0.714285714
